firstName,lastName,aveTime,winPercentage,fighterId
Khabib,Nurmagomedov,158.0,100.0,0
Justin,Gaethje,159.31034482758622,83.33333333333334,1
Dustin,Poirier,140.89743589743588,75.0,2
Conor,McGregor,180.44444444444446,78.57142857142857,3
Al,Iaquinta,221.04761904761904,63.63636363636363,4
Edson,Barboza,157.42857142857142,66.66666666666666,5
Michael,Johnson,150.26829268292684,54.761904761904766,6
Darrell,Horcher,242.2,66.66666666666666,7
Rafael,dos,152.83333333333334,65.3061224489796,8
Pat,Healy,103.36206896551724,57.6271186440678,9
Abel,Trujillo,131.82608695652175,62.5,10
Thiago,Tavares,182.65714285714284,66.66666666666666,11
Gleison,Tibau,158.43859649122808,67.24137931034483,12
Kamal,Shalorus,215.53333333333333,56.25,13
Ali,Bagov,119.13333333333334,73.91304347826086,14
Shahbulat,Shamhalaev,117.2,75.0,15
Max,Holloway,156.33333333333334,76.47058823529412,16
Rafael,Fiziev,213.5,80.0,17
Charles,Oliveira,135.33333333333334,76.08695652173914,18
Michael,Chandler,179.96774193548387,71.875,19
Tony,Ferguson,170.2,69.44444444444444,20
Donald,Cerrone,110.83333333333333,65.45454545454545,21
James,Vick,195.22222222222223,68.42105263157895,22
Eddie,Alvarez,162.69230769230768,75.0,23
Luiz,Firmino,229.0,66.66666666666666,24
Brian,Foster,155.02380952380952,69.76744186046511,25
Luis,Palomino,111.83333333333333,60.46511627906976,26
Melvin,Guillard,106.55172413793103,54.23728813559322,27
Nick,Newell,230.21052631578948,80.0,28
Dan,Lauzon,155.54545454545453,73.91304347826086,29
Gesias,Cavalcante,189.19444444444446,59.45945945945946,30
Drew,Fickett,137.53125,66.15384615384615,31
Kevin,Croom,134.13513513513513,57.89473684210527,32
Islam,Makhachev,195.7037037037037,96.42857142857143,33
Benoît,Saint,128.1875,76.47058823529412,34
Dan,Hooker,161.22857142857143,66.66666666666666,35
Anthony,Pettis,149.18421052631578,64.1025641025641,36
Jim,Miller,123.875,66.66666666666666,37
Joseph,Duffy,224.75,76.19047619047619,38
Yancy,Medeiros,237.23076923076923,59.25925925925925,39
Carlos,Diego,209.45833333333334,76.0,40
Akira,Corassani,155.88888888888889,63.1578947368421,41
Diego,Brandão,137.2,56.86274509803921,42
Erik,Koch,218.33333333333334,72.72727272727273,43
Cub,Swanson,173.1860465116279,68.18181818181817,44
Jonathan,Brookins,155.08,61.53846153846154,45
The,Korean,246.125,68.0,46
Pablo,Garza,137.66666666666666,75.0,47
Jason,Young,159.42857142857142,60.0,48
Josh,Grispi,129.72222222222223,73.68421052631578,49
Danny,Castillo,113.84615384615384,62.96296296296296,50
Derrick,Krantz,131.1081081081081,68.42105263157895,51
Nate,Diaz,197.96969696969697,61.76470588235294,52
José,Aldo,184.025,78.04878048780488,53
Chad,Mendes,170.27272727272728,78.26086956521739,54
Dennis,Siver,143.11764705882354,65.71428571428571,55
Marcus,Brimage,374.92857142857144,46.666666666666664,56
Diego,Sanchez,167.51162790697674,68.18181818181817,57
Jorge,Masvidal,142.33333333333334,67.3076923076923,58
Joe,Lauzon,136.14285714285714,65.11627906976744,59
Ross,Pearson,147.35135135135135,52.63157894736842,60
Rodrigo,Damm,186.2,57.14285714285714,61
Mitch,Clarke,251.53333333333333,68.75,62
Piotr,Hallmann,129.75,76.0,63
Ryan,Couture,177.47058823529412,66.66666666666666,64
Michael,Chiesa,215.08333333333334,72.0,65
Will,Martinez,158.30769230769232,71.42857142857143,66
Lerone,Murphy,210.46666666666667,93.75,67
Sodiq,Yusuff,182.4375,76.47058823529412,68
Billy,Quarantillo,180.0,72.0,69
Bryce,Mitchell,200.27777777777777,89.47368421052632,70
Giga,Chikadze,174.66666666666666,78.94736842105263,71
Shane,Burgos,184.0,76.19047619047619,72
Makwan,Amirkhani,185.0,62.06896551724138,73
Dan,Ige,145.65384615384616,66.66666666666666,74
Paul,Felder,148.27272727272728,73.91304347826086,75
Kevin,Lee,169.03703703703704,71.42857142857143,76
Beneil,Dariush,183.03571428571428,75.86206896551724,77
Gilbert,Melendez,210.51724137931035,73.33333333333333,78
Evan,Dunham,177.85185185185185,64.28571428571429,79
Rafaello,Oliveira,140.08333333333334,68.0,80
Lucas,Martins,159.57142857142858,75.86206896551724,81
Jamie,Varner,125.8529411764706,60.0,82
Terry,Etim,155.8,76.19047619047619,83
Anthony,Njokuani,230.57575757575756,52.94117647058824,84
Ottman,Azaitar,256.2,81.25,85
Marc,Diakiese,167.125,72.0,86
Jamie,Mullarkey,160.125,68.0,87
Alan,Patrick,271.05263157894734,75.0,88
Clay,Guida,125.88709677419355,60.317460317460316,89
Thiago,Moisés,177.69230769230768,70.37037037037037,90
Josh,Emmett,202.36363636363637,82.6086956521739,91
Artem,Lobov,96.86666666666666,45.16129032258064,92
Andre,Fili,154.19444444444446,64.86486486486487,93
Darren,Elkins,166.10256410256412,72.5,94
Reza,Madadi,205.26315789473685,70.0,95
Myles,Jury,203.29166666666666,76.0,96
Shane,Roller,107.88235294117646,61.111111111111114,97
Paul,Sass,151.06666666666666,87.5,98
Edward,Faaloloto,226.5,28.57142857142857,99
Clay,French,138.64,73.07692307692307,100
James,Krause,134.5142857142857,77.77777777777779,101
Olivier,Aubin-Mercier,176.68,80.76923076923077,102
Roosevelt,Roberts,170.47058823529412,66.66666666666666,103
Scott,Holtzman,207.8421052631579,70.0,104
Devin,Powell,222.92857142857142,66.66666666666666,105
Phillipe,Nover,260.8421052631579,55.00000000000001,106
E.J.,Brooks,200.3684210526316,70.0,107
Geoff,Neal,211.66666666666666,72.72727272727273,108
Mateusz,Gamrot,169.59259259259258,85.71428571428571,109
Vicente,Luque,170.96969696969697,67.64705882352942,110
Bryan,Barberena,181.75862068965517,60.0,111
Renato,Moicano,206.03846153846155,74.07407407407408,112
Leon,Edwards,184.65384615384616,81.48148148148148,113
Kamaru,Usman,172.91304347826087,83.33333333333334,114
Colby,Covington,223.33333333333334,77.27272727272727,115
Robbie,Lawler,176.67391304347825,63.829787234042556,116
Neil,Magny,127.02439024390245,69.04761904761905,117
Tarec,Saffiedine,169.5909090909091,69.56521739130434,118
Benson,Henderson,145.26829268292684,71.42857142857143,119
Jason,High,185.23333333333332,74.19354838709677,120
Mark,Bocek,231.25,70.58823529411765,121
George,Sotiropoulos,321.95238095238096,63.63636363636363,122
Rob,Emerson,195.38888888888889,56.75675675675676,123
Tyson,Griffin,208.625,68.0,124
Jeremy,Stephens,130.52,56.86274509803921,125
Takafumi,Otsuka,111.51020408163265,57.99999999999999,126
Johil,de,258.70588235294116,48.57142857142857,127
Brendan,Loughnane,150.57142857142858,83.33333333333334,128
Rick,Hawn,201.0,80.76923076923077,129
Ricardo,Tirloni,188.93548387096774,75.0,130
Kurt,Holobaugh,168.24137931034483,70.0,131
Mizuto,Hirota,176.16666666666666,58.06451612903226,132
Caros,Fodor,179.75,64.70588235294117,133
Maximo,Blanco,140.14285714285714,54.54545454545454,134
Eric,Wisely,116.5813953488372,77.27272727272727,135
Lyle,Beerbohm,89.62962962962963,89.28571428571429,136
Josh,Thomson,189.51612903225808,68.75,137
TJ,Waldburger,125.41666666666667,64.0,138
Ryan,Ford,198.6551724137931,80.0,139
Jake,Ellenberger,108.57777777777778,67.3913043478261,140
Mike,Guymon,252.23809523809524,68.18181818181817,141
Rory,Markham,206.5,73.91304347826086,142
Carlos,Condit,152.93333333333334,69.56521739130434,143
Tiki,Ghosn,235.11764705882354,55.55555555555556,144
Chris,Wilson,126.53571428571429,62.06896551724138,145
Carlo,Prater,129.85,57.377049180327866,146
Jay,Hieron,121.10344827586206,76.66666666666667,147
Paul,Daley,111.1774193548387,68.25396825396825,148
Chris,Lytle,86.13207547169812,57.407407407407405,149
Dan,Hardy,86.77142857142857,69.44444444444444,150
Dave,Strasser,120.55555555555556,67.56756756756756,151
Brad,Blackburn,117.46875,54.54545454545454,152
Denis,Kang,97.5,63.63636363636363,153
John,Makdessi,210.57692307692307,66.66666666666666,154
Jordan,Rinaldi,161.75,66.66666666666666,155
Tony,Sims,190.46666666666667,75.0,156
Roger,Bowling,189.72222222222223,63.1578947368421,157
Marcus,LeVesseur,125.0,75.86206896551724,158
James,Edson,126.96551724137932,56.666666666666664,159
Alonzo,Martinez,86.93548387096774,63.49206349206349,160
Scott,Cleve,113.95,71.42857142857143,161
Rashid,Magomedov,161.03125,75.75757575757575,162
Brian,Ortega,262.8,76.19047619047619,163
Robbie,Peralta,147.71428571428572,65.51724137931035,164
Justin,Salas,199.11111111111111,63.1578947368421,165
Sam,Stout,139.375,60.60606060606061,166
Spencer,Fisher,112.40625,72.72727272727273,167
Nik,Lentz,128.5681818181818,66.66666666666666,168
Kurt,Pellegrino,153.36363636363637,69.56521739130434,169
Matt,Wiman,238.28,61.53846153846154,170
Michihiro,Omigawa,180.11764705882354,54.285714285714285,171
Jason,Black,100.29629629629629,82.14285714285714,172
Naoyuki,Kotani,134.327868852459,59.67741935483871,173
Daniel,Weichel,139.35714285714286,73.68421052631578,174
Alexey,Kunchenko,156.07407407407408,82.14285714285714,175
Magomed,Magomedkerimov,139.3,85.36585365853658,176
Rory,MacDonald,186.24242424242425,67.64705882352942,177
Efraín,Escudero,129.625,65.3061224489796,178
Desmond,Green,114.8125,75.75757575757575,179
Norman,Parke,163.6,78.04878048780488,180
John,Cholish,205.8,72.72727272727273,181
Francisco,Trinaldo,172.7027027027027,76.31578947368422,182
Caol,Uno,162.40983606557376,54.83870967741935,183
Josh,Neer,90.15384615384616,67.9245283018868,184
Rich,Clementi,75.02941176470588,65.21739130434783,185
Joe,Stevenson,131.52083333333334,67.3469387755102,186
